ban anbay
bap apbay
bag agbay
bed edbay
ben enbay
big igbay
bot otbay
bun unbay
bug ugbay
cat atcay
can ancay
cap apcay
ced edcay
cen encay
cig igcay
cop opcay
cot otcay
cun uncay
dat atday
dan anday
dap apday
dag agday
ded edday
den enday
dop opday
dot otday
dun unday
dug ugday
fat atfay
fan anfay
fag agfay
fed edfay
fen enfay
fig igfay
fop opfay
fot otfay
fug ugfay
hat athay
han anhay
hap aphay
hag aghay
hed edhay
hig ighay
hop ophay
hot othay
hun unhay
hug ughay
mat atmay
map apmay
mag agmay
med edmay
men enmay
mig igmay
mop opmay
mun unmay
mug ugmay
nat atnay
nan annay
nap apnay
nag agnay
nen ennay
nig ignay
nop opnay
not otnay
nun unnay
nug ugnay
pan anpay
pap appay
pag agpay
ped edpay
pen enpay
pig igpay
pot otpay
pun unpay
pug ugpay
rat atray
ran anray
rap apray
red edray
ren enray
rig igray
rop opray
rot otray
run unray
sat atsay
san ansay
sap apsay
sag agsay
sed edsay
sen ensay
sop opsay
sot otsay
sun unsay
sug ugsay
tat attay
tan antay
tag agtay
ted edtay
ten entay
tig igtay
top optay
tot ottay
tug ugtay
ada adaway
ata ataway
ana anaway
apa apaway
ara araway
asa asaway
aga agaway
ala alaway
eba ebaway
eta etaway
ena enaway
ema emaway
era eraway
esa esaway
eka ekaway
ela elaway
iba ibaway
ida idaway
ina inaway
ima imaway
ipa ipaway
isa isaway
ika ikaway
iga igaway
oba obaway
oda odaway
ota otaway
oma omaway
opa opaway
ora oraway
oka okaway
oga ogaway
ola olaway
uda udaway
uta utaway
una unaway
upa upaway
ura uraway
usa usaway
uga ugaway
ula ulaway
