AE, Abu Dhabi|AUH
AE, Dubai|DXB
AR, Buenos Aires|EZE
AT, Vienna|VIE
AU, Brisbane|BNE
AU, Melbourne|MEL
AU, Sydney|SYD
BR, Rio de Janeiro|GIG
BR, Sao Paulo|GRU
CA, Calgary|YYC
CA, Montreal|YUL
CA, Ottawa|YOW
CA, Toronto|YYZ
CA, Vancouver|YVR
CH, Geneva|GVA
CH, Zurich|ZRH
CL, Santiago|SCL
CN, Beijing|PEK
CN, Hong Kong|HKG
CN, Shanghai|PVG
CO, Bogota|BOG
CZ, Prague|PRG
DE, Berlin|BER
DE, Frankfurt|FRA
DE, Munich|MUC
DK, Copenhagen|CPH
EG, Cairo|CAI
ES, Barcelona|BCN
ES, Madrid|MAD
ET, Addis Ababa|ADD
FI, Helsinki|HEL
FR, Nice|NCE
FR, Paris|CDG
GB, Edinburgh|EDI
GB, London|LHR
GB, Manchester|MAN
GR, Athens|ATH
ID, Jakarta|CGK
IE, Dublin|DUB
IL, Tel Aviv|TLV
IN, Delhi|DEL
IN, Mumbai|BOM
IT, Milan|MXP
IT, Rome|FCO
JP, Osaka|KIX
JP, Tokyo|NRT
KE, Nairobi|NBO
KR, Seoul|ICN
MA, Casablanca|CMN
MX, Cancun|CUN
MX, Mexico City|MEX
MY, Kuala Lumpur|KUL
NG, Lagos|LOS
NL, Amsterdam|AMS
NO, Oslo|OSL
NZ, Auckland|AKL
PE, Lima|LIM
PH, Manila|MNL
PL, Warsaw|WAW
PT, Lisbon|LIS
QA, Doha|DOH
SA, Jeddah|JED
SA, Riyadh|RUH
SE, Stockholm|ARN
SG, Singapore|SIN
TH, Bangkok|BKK
TR, Ankara|ESB
TR, Istanbul|IST
US, Atlanta|ATL
US, Austin|AUS
US, Boston|BOS
US, Chicago|ORD
US, Dallas|DFW
US, Denver|DEN
US, Detroit|DTW
US, Houston|IAH
US, Las Vegas|LAS
US, Los Angeles|LAX
US, Miami|MIA
US, Minneapolis|MSP
US, Nashville|BNA
US, New York|JFK
US, Newark|EWR
US, Orlando|MCO
US, Philadelphia|PHL
US, Phoenix|PHX
US, Portland|PDX
US, Salt Lake City|SLC
US, San Diego|SAN
US, San Francisco|SFO
US, Seattle|SEA
US, Tampa|TPA
US, Washington|DCA
VN, Hanoi|HAN
ZA, Cape Town|CPT
ZA, Johannesburg|JNB
