cat|atcay
dog|ogday
hat|athay
run|unray
jump|umpjay
sit|itsay
big|igbay
red|edray
hot|othay
cup|upcay
sun|unsay
moon|oonmay
star|arstay
tree|eetray
fish|ishfay
bird|irdbay
door|oorday
book|ookbay
hand|andhay
foot|ootfay
black|ackblay
brown|ownbray
green|eengray
blue|ueblay
white|itewhay
drum|umdray
flag|agflay
plant|antplay
train|aintray
string|ingstray
cloud|oudclay
flower|owerflay
snow|owsnay
bread|eadbray
frog|ogfray
truck|ucktray
brain|ainbray
crack|ackcray
glass|assglay
grape|apegray
price|icepray
smile|ilesmay
smoke|okesmay
snake|akesnay
space|acespay
sport|ortspay
stick|ickstay
stone|onestay
storm|ormstay
straw|awstray
strip|ipstray
strong|ongstray
swing|ingsway
think|inkthay
throw|owthray
trick|icktray
apple|appleway
egg|eggway
ice|iceway
orange|orangeway
under|underway
open|openway
every|everyway
after|afterway
into|intoway
over|overway
away|awayway
air|airway
owl|owlway
arm|armway
ear|earway
end|endway
ant|antway
art|artway
ask|askway
hello|ellohay
world|orldway
light|ightlay
water|aterway
table|abletay
chair|airchay
paper|aperpay
night|ightnay
river|iverray
tiger|igertay
house|ousehay
plane|aneplay
store|orestay
north|orthnay
south|outhsay
happy|appyhay
funny|unnyfay
dirty|irtyday
quiet|uietqay
quick|uickqay
sharp|arpshay
short|ortshay
clean|eanclay
fresh|eshfray
pizza|izzapay
lunch|unchlay
candy|andycay
movie|oviemay
music|usicmay
dance|anceday
sleep|eepslay
dream|eamdray
